Planet Earth II,1957,G,9.5
Band of Brothers,1986,PG,9.4
Game of Thrones,1995,PG,9.4
Planet Earth,1975,PG-13,9.4
Breaking Bad,2014,PG-13,9.4
Our Planet,1954,PG,9.3
The Wire,1994,PG,9.3
Blue Planet II,1960,R,9.2
Cosmos,2009,R,9.2
Rick and Morty,2018,R,9.2
Chernobyl,2012,PG-13,9.1
The Sopranos,1936,R,9.1
The World at War,2010,PG,9.1
Avatar: The Last Airbender,1999,PG-13,9.1
Life,1994,PG,9.1
Sherlock,2017,PG-13,9.1
The Vietnam War,1964,PG,9
The Twilight Zone,1991,PG,9
Human Planet,1981,PG,9
Dekalog,1950,PG-13,9
The Civil War,1999,PG-13,9
Firefly,1992,PG,9
Fullmetal Alchemist: Brotherhood,1931,PG,9
True Detective,2000,PG-13,9
Fargo,1991,PG,8.9
Batman: The Animated Series,2018,PG-13,8.9
Last Week Tonight with John Oliver,1980,PG,8.9
Death Note,1977,R,8.9
The Blue Planet,1942,R,8.9
Cowboy Bebop,2000,PG-13,8.9
Black Mirror,2000,R,8.9
Frozen Planet,1993,PG-13,8.8
One Punch Man,1940,PG-13,8.8
Africa,1974,R,8.8
Monty Python's Flying Circus,1990,PG-13,8.8
Pride and Prejudice,2007,PG-13,8.8
Das Boot,1968,PG,8.8
Friends,2008,R,8.8
Only Fools and Horses....,1997,PG-13,8.8
Apocalypse: La 2ème guerre mondiale,2011,R,8.8
Seinfeld,1983,PG-13,8.8
Stranger Things,1984,PG-13,8.8
Mahabharat,2008,PG,8.8
Arrested Development,1996,R,8.8
Gravity Falls,2001,R,8.8
Twin Peaks,2015,R,8.8
Over the Garden Wall,2005,G,8.8
Narcos,1946,R,8.8
Freaks and Geeks,1995,PG-13,8.8
TVF Pitchers,2006,PG-13,8.8
House of Cards,1998,G,8.8
Fawlty Towers,1966,PG,8.8
Westworld,1997,PG,8.8
Peaky Blinders,2003,PG,8.7
Cobra Kai,2016,PG-13,8.7
Sahsiyet,2012,PG-13,8.7
Justice League Unlimited,1988,PG,8.7
Blackadder Goes Forth,2000,R,8.7
Rome,1998,R,8.7
It's Always Sunny in Philadelphia,2006,R,8.7
Oz,2016,R,8.7
The Simpsons,2009,G,8.7
Attack on Titan,1972,PG-13,8.7
The West Wing,1957,PG-13,8.7
Nathan for You,1979,G,8.7
Curb Your Enthusiasm,1997,PG,8.7
South Park,2011,R,8.7
House M.D.,1994,PG,8.7
The Marvelous Mrs. Maisel,1994,PG-13,8.7
The Haunting of Hill House,2012,PG,8.7
Chappelle's Show,2001,G,8.7
The Adventures of Sherlock Holmes,1954,R,8.7
Dragon Ball Z,1988,R,8.7
Lonesome Dove,2010,PG,8.7
The Jinx: The Life and Deaths of Robert Durst,2009,R,8.7
Dragon Ball Z: Doragon bôru zetto,2006,PG,8.7
Steins;Gate,1981,PG,8.7
Deadwood,1979,PG-13,8.7
Better Call Saul,1997,R,8.6
The Thick of It,2002,PG,8.6
Six Feet Under,1985,R,8.6
The Return of Sherlock Holmes,1980,PG,8.6
The Crown,1994,R,8.6
The Memoirs of Sherlock Holmes,2002,G,8.6
The Shield,2003,R,8.6
The X-Files,2005,PG,8.6
Top Gear,1987,R,8.6
Downton Abbey,1999,R,8.6
Monster,1984,R,8.6
Dexter,1997,R,8.6
Young Justice,1995,PG,8.6
Archer,2018,PG,8.6
Blackadder II,1995,PG,8.6
From the Earth to the Moon,2002,PG-13,8.6
This Is Us,2001,PG-13,8.6
Daredevil,1957,PG-13,8.6
Bron/Broen,1986,G,8.6
Star Trek: The Next Generation,1995,PG-13,8.6
The Grand Tour,1975,PG-13,8.6
Making a Murderer,2014,PG,8.6
Parks and Recreation,1954,R,8.6
North &amp; South,1994,R,8.6
Sacred Games,1960,PG-13,8.6
Battlestar Galactica,2009,R,8.6
Blackadder the Third,2014,G,8.6
Gomorra: La serie,2018,PG-13,8.6
Kôdo giasu: Hangyaku no rurûshu,2012,R,8.6
Long Way Round,1936,R,8.6
Atlanta,2010,PG-13,8.6
Through the Wormhole,1999,PG-13,8.6
Mad Men,1994,PG,8.6
Fullmetal Alchemist,2017,R,8.6
Spaced,1964,PG-13,8.6
Shameless,1991,R,8.6
Hunter x Hunter,1981,PG,8.6
The Bugs Bunny Show,1950,R,8.6
Samurai X: Trust and Betrayal,1999,R,8.6
Mind Your Language,1992,R,8.6
QI,1931,PG,8.6
Friday Night Lights,1991,PG-13,8.6
Skam,2018,R,8.6
Mister Rogers' Neighborhood,1980,PG,8.6
Peep Show,1977,PG,8.6
Father Ted,1942,R,8.6
Chef's Table,2000,PG,8.6
Leyla ile Mecnun,2000,PG-13,8.6
Seinto Seiya,1993,PG,8.5
Justice League,1940,PG-13,8.5
Yes Minister,1974,PG,8.5
Flight of the Conchords,1990,R,8.5
Shin Seiki Evangerion,2007,PG-13,8.5
The Newsroom,1968,R,8.5
Justified,2008,R,8.5
The Defiant Ones,1997,PG-13,8.5
Generation Kill,2011,R,8.5
Line of Duty,1983,R,8.5
Poirot,1984,R,8.5
Brass Eye,2008,R,8.5
Boardwalk Empire,1996,PG-13,8.5
Adventure Time,2001,PG,8.5
Big Little Lies,2015,PG-13,8.5
Dark,2005,PG-13,8.5
John Adams,1946,M/PG,8.5
Mystery Science Theater 3000,1995,PG,8.5
Berserk,2004,R,8.5
The Punisher,2006,PG,8.5
The Eric Andre Show,1998,PG,8.5
The Night Of,1966,PG,8.5
Homicide: Life on the Street,1997,R,8.5
Louie,2003,R,8.5
Samurai Champloo,2016,PG-13,8.5
Yeh Meri Family,2012,R,8.5
Alfred Hitchcock Presents,1988,PG-13,8.5
Coupling,2000,PG,8.5
The Untold History of the United States,1998,PG,8.5
Dragon Ball,2006,PG,8.5
The IT Crowd,2009,PG-13,8.5
Mindhunter,1972,PG-13,8.5
Feud,1957,R,8.5
Mr. Bean,1979,PG,8.5
Dr. Horrible's Sing-Along Blog,1997,PG,8.5
Silicon Valley,2011,PG,8.5
The Office,1994,R,8.5
Brideshead Revisited,1994,R,8.5
Sseulsseulhago Chalranhashin: Dokkaebi,2012,PG-13,8.5
Vikings,2001,R,8.5
